"Name","Link","Price_AMD","Price_USD","State","City","Address","Zipcode","Photos_Count","Ranking_Category","Rank_in_Category","N_Hotels_in_Category","Review_Count","Average_Score","Excellent_Rating","Good_Rating","Average_Rating","Poor_Rating","Terrible_Rating","Certificate","Language_distribution","Provider","Free_WiFi","Breakfast_Included","Free_Parking","Swimming_Pool","Hotel_Website","Special_Offer","Restaurant"
"""G"" Hotel","https://www.tripadvisor.com//Hotel_Review-g293932-d8785941-Reviews-G_Hotel-Yerevan.html",9977,21,"Yerevan","Yerevan","Erebuni.Ulitsa Ai_vazovskogo","0041",0,NA,0,0,0,0,0,0,0,0,0,0,"[]","Agoda.com","0","0","0","0","0","0","0"
"14th Floor Hotel","https://www.tripadvisor.com//Hotel_Review-g293932-d2038096-Reviews-14th_Floor_Hotel-Yerevan.html",33589,69,"Yerevan","Yerevan","Amiryan str. 4/6","0010",119,"Hotels in Yerevan",24,83,90,4.5,6,6,5,1,2,1,"{'English': 44, 'Russian': 39, 'German': 3}","Expedia.com","1","0","1","0","0","0","0"
"17 Nalbandyan Hostel","https://www.tripadvisor.com//Hotel_Review-g293932-d9608160-Reviews-17_Nalbandyan_Hostel-Yerevan.html",14550,30,"Yerevan","Yerevan","Nalbandyan str. 17/7","0010",0,"Specialty Lodging in Yerevan",140,300,2,1,0,0,0,0,2,0,"{'English': 2}","Booking.com","0","1","0","0","0","0","1"
"2x2 Cinema-Bar Hotel","https://www.tripadvisor.com//Hotel_Review-g293932-d7318900-Reviews-2x2_Cinema_Bar_Hotel-Yerevan.html",266667,549,"Yerevan","Yerevan","Khangyan Street 31","0010",15,"Specialty Lodging in Yerevan",33,300,11,4.5,9,1,1,0,0,0,"{'English': 5, 'Russian': 4, 'Polish': 2}","Booking.com","1","0","1","0","0","0","0"
"3/3 Appart Hotel","https://www.tripadvisor.com//Hotel_Review-g293932-d15639048-Reviews-3_3_Appart_Hotel-Yerevan.html",19990,41,"Yerevan","Yerevan","Bagramyan Marshal ave 3/3","0019",6,NA,0,0,0,0,0,0,0,0,0,0,"[]","Booking.com","1","0","1","0","0","0","0"
"3D Guest House","https://www.tripadvisor.com//Hotel_Review-g1160895-d12436502-Reviews-3D_Guest_House-Dilijan_Tavush_Province.html",18000,37,"Tavush Province","Dilijan","Moldovakan 7/2","3905",5,NA,0,0,0,0,0,0,0,0,0,0,"[]","Booking.com","1","0","1","0","0","0","0"
"4Guest Hotel","https://www.tripadvisor.com//Hotel_Review-g293932-d13485222-Reviews-4Guest_Hotel-Yerevan.html",17000,35,"Yerevan","Yerevan","H. Hovsepian 31","0046",8,"Specialty Lodging in Yerevan",65,300,3,5,2,0,0,0,0,0,"{'English': 2, 'Russian': 1}","Booking.com","1","0","1","0","0","0","0"
"5 Rooms","https://www.tripadvisor.com//Hotel_Review-g293932-d12916039-Reviews-5_Rooms-Yerevan.html",NA,NA,"Yerevan","Yerevan","21 Gevorg Kochar Street","0009",11,"B&Bs / Inns in Yerevan",41,144,4,4.5,0,0,1,0,0,0,"{'English': 1, 'Russian': 3}","Hotels.com","1","0","0","0","0","0","1"
"5. Element Hostel","https://www.tripadvisor.com//Hotel_Review-g293932-d12455033-Reviews-5_Element_Hostel-Yerevan.html",14990,31,"Yerevan","Yerevan","Gai Avenue 57/1","0015",0,NA,0,0,0,0,0,0,0,0,0,0,"[]","Booking.com","1","0","1","0","0","0","0"
"5th Floor Guests House Yerevan","https://www.tripadvisor.com//Hotel_Review-g293932-d12360073-Reviews-5th_Floor_Guests_House_Yerevan-Yerevan.html",NA,NA,"Yerevan","Yerevan","Vratsyan Street 71",NA,8,"Specialty Lodging in Yerevan",50,300,5,5,3,0,0,0,0,0,"{'English': 3, 'Russian': 2}","Expedia.com","0","0","0","0","0","0","0"
"Adams Hotel","https://www.tripadvisor.com//Hotel_Review-g293932-d12456038-Reviews-Adams_Hotel-Yerevan.html",22500,46,"Yerevan","Yerevan","Charyentsa str. 90/7","0025",6,"Specialty Lodging in Yerevan",27,300,11,5,9,2,0,0,0,0,"{'English': 6, 'Russian': 5}","Booking.com","1","0","1","0","0","0","0"
"Adamyan 11 Hostel","https://www.tripadvisor.com//Hotel_Review-g293932-d15232919-Reviews-Adamyan_11_Hostel-Yerevan.html",9990,21,"Yerevan","Yerevan","Petros Adamyan Street 11","0010",0,NA,0,0,0,0,0,0,0,0,0,0,"[]","Booking.com","0","0","0","0","0","0","0"
