"name","Provider","Price","Review_Count","Free_Wifi","Breakfast_Included","Free_Parking","Swimming_Pool","Hotel_Website","Special_Offer","Restaurant","link"
"Paris Hotel","Booking.com","AMD 40,833","449 reviews","Free Wifi","","Free parking","","Visit hotel website","","","https://www.tripadvisor.com//Hotel_Review-g293932-d7004445-Reviews-Paris_Hotel-Yerevan.html"
"Republica Hotel Yerevan","Booking.com","AMD 45,000","696 reviews","Free Wifi","Breakfast included","","","Visit hotel website","","","https://www.tripadvisor.com//Hotel_Review-g293932-d6731098-Reviews-Republica_Hotel_Yerevan-Yerevan.html"
"My Hotel Yerevan","Booking.com","AMD 23,750","160 reviews","Free Wifi","","Free parking","","","","","https://www.tripadvisor.com//Hotel_Review-g293932-d6702577-Reviews-My_Hotel_Yerevan-Yerevan.html"
"Best Western Plus Congress Hotel","Booking.com","AMD 33,150","636 reviews","Free Wifi","","Free parking","","","","","https://www.tripadvisor.com//Hotel_Review-g293932-d308336-Reviews-Best_Western_Plus_Congress_Hotel-Yerevan.html"
"Armenia Marriott Hotel Yerevan","Marriott Hotels","AMD 40,800","794 reviews","","","Free parking","","Visit hotel website","","Restaurant","https://www.tripadvisor.com//Hotel_Review-g293932-d299732-Reviews-Armenia_Marriott_Hotel_Yerevan-Yerevan.html"
"Hyatt Place Yerevan","Expedia.com","AMD 36,908","314 reviews","Free Wifi","","Free parking","","","","","https://www.tripadvisor.com//Hotel_Review-g293932-d5281493-Reviews-Hyatt_Place_Yerevan-Yerevan.html"
"DoubleTree by Hilton Hotel Yerevan City Centre","Booking.com","AMD 38,400","388 reviews","Free Wifi","","Free parking","","Visit hotel website","","","https://www.tripadvisor.com//Hotel_Review-g293932-d8029079-Reviews-DoubleTree_by_Hilton_Hotel_Yerevan_City_Centre-Yerevan.html"
"Grand Hotel Yerevan","Expedia.com","AMD 65,910","385 reviews","Free Wifi","","","Pool","","","","https://www.tripadvisor.com//Hotel_Review-g293932-d585269-Reviews-Grand_Hotel_Yerevan-Yerevan.html"
"Radisson Blu Hotel, Yerevan","Expedia.com","AMD 36,001","129 reviews","Free Wifi","","Free parking","","","","","https://www.tripadvisor.com//Hotel_Review-g293932-d10518419-Reviews-Radisson_Blu_Hotel_Yerevan-Yerevan.html"
"Azoyan Guest House","Booking.com","AMD 32,000","70 reviews","Free Wifi","","","","","","","https://www.tripadvisor.com//Hotel_Review-g293932-d6648449-Reviews-Azoyan_Guest_House-Yerevan.html"
"Roma Hotel Complex","Booking.com","AMD 23,333","110 reviews","Free Wifi","","Free parking","","","","","https://www.tripadvisor.com//Hotel_Review-g293932-d5218005-Reviews-Roma_Hotel_Complex-Yerevan.html"
"Envoy Hostel and Tours","Booking.com","AMD 20,417","363 reviews","Free Wifi","Breakfast included","","","","","","https://www.tripadvisor.com//Hotel_Review-g293932-d595944-Reviews-Envoy_Hostel_and_Tours-Yerevan.html"
