"name","link","Provider","Review_Count","Free_Wifi","Breakfast_Included","Free_Parking","Swimming_Pool","Hotel_Website","Special_Offer","Restaurant","Price_AMD","Price_USD","externalObjectId","objectType","country","state","city","address","zipcode","phone","photosCount","rankingCategory","objectRank","objectsInCategoryCount","reviewCount","avgScore","certificate","scoreDistribution","languageDistribution","tagcloud"
"""G"" Hotel","https://www.tripadvisor.com//Hotel_Review-g293932-d8785941-Reviews-G_Hotel-Yerevan.html","Booking.com",0,"0","0","0","0","0","0","0",4983,10,"d8785941","Hotel","Armenia","Yerevan","Yerevan","Erebuni.Ulitsa Ai_vazovskogo","0041","Missing","Missing","Missing","Missing","Missing","459","Missing","Missing","Missing","Missing","Missing"
"14th Floor Hotel","https://www.tripadvisor.com//Hotel_Review-g293932-d2038096-Reviews-14th_Floor_Hotel-Yerevan.html","Booking.com",90,"1","0","1","0","0","0","0",19911,41,"d2038096","Hotel","Armenia","Yerevan","Yerevan","Amiryan str. 4/6","0010","Missing","105","Hotels in Yerevan","22","82","85","4.5","Certificate of Excellence","['21', '16', '2', '1', '1']","{'English': '41', 'Russian': '38', 'French': '3', 'German': '2', 'Dutch': '1', 'Turkish': '1'}","['reviews', 'mt', 'ararat', 'sewage', 'smell', 'big', 'terrace', 'dried', 'fruit', 'worked', 'perfectly', 'front', 'desk', 'view', 'from', 'the', 'balcony', 'republic', 'square', 'one', 'night', 'room', 'was', 'clean', 'central', 'location', 'recommend', 'this', 'hotel', 'small', 'hotel', 'excellent', 'location', 'great', 'hotel', 'elevator', 'city']"
"2x2 Cinema-Bar Hotel","https://www.tripadvisor.com//Hotel_Review-g293932-d7318900-Reviews-2x2_Cinema_Bar_Hotel-Yerevan.html","Booking.com",11,"1","0","1","0","0","0","0",25000,52,"d7318900","Hotel","Armenia","Yerevan","Yerevan","Khangyan Street 31","0010","Missing","15","Specialty Lodging in Yerevan","30","281","11","4.5","Missing","['4', '0', '1', '0', '0']","{'English': '5', 'Russian': '4', 'Polish': '2'}","['reviews', 'big', 'lcd', 'tv', 'nina', 'jacuzzi', 'kettle', 'driver', 'taxi', 'breakfast']"
"3/3 Appart Hotel","https://www.tripadvisor.com//Hotel_Review-g293932-d15639048-Reviews-3_3_Appart_Hotel-Yerevan.html","Booking.com",0,"1","0","1","0","0","0","0",9990,21,"d15639048","Hotel","Armenia","Yerevan","Yerevan","Bagramyan Marshal ave 3/3","0019","Missing","1","Missing","Missing","Missing","362","Missing","Missing","Missing","Missing","Missing"
"5 Rooms","https://www.tripadvisor.com//Hotel_Review-g293932-d12916039-Reviews-5_Rooms-Yerevan.html","Booking.com",4,"1","0","0","0","0","0","1",13450,28,"d12916039","Hotel","Armenia","Yerevan","Yerevan","21 Gevorg Kochar Street","0009","Missing","11","B&Bs / Inns in Yerevan","41","139","4","4.5","Missing","['0', '0', '1', '0', '0']","{'English': '1', 'Russian': '3'}","Missing"
"5. Element Hostel","https://www.tripadvisor.com//Hotel_Review-g293932-d12455033-Reviews-5_Element_Hostel-Yerevan.html","Booking.com",0,"1","0","1","0","0","0","0",17992,37,"d12455033","Hotel","Armenia","Yerevan","Yerevan","Gai Avenue 57/1","0015","Missing","Missing","Missing","Missing","Missing","459","Missing","Missing","Missing","Missing","Missing"
"5th Floor Guests House Yerevan","https://www.tripadvisor.com//Hotel_Review-g293932-d12360073-Reviews-5th_Floor_Guests_House_Yerevan-Yerevan.html","Booking.com",5,"0","0","0","0","0","0","0",17708,37,"d12360073","Hotel","Armenia","Yerevan","Yerevan","Vratsyan Street 71","Missing","Missing","8","Specialty Lodging in Yerevan","48","281","5","5","Missing","['3', '0', '0', '0', '0']","{'English': '3', 'Russian': '2'}","Missing"
"Adamyan 11 Hostel","https://www.tripadvisor.com//Hotel_Review-g293932-d15232919-Reviews-Adamyan_11_Hostel-Yerevan.html","Booking.com",0,"0","0","0","0","0","0","0",9990,21,"d15232919","Hotel","Armenia","Yerevan","Yerevan","Petros Adamyan Street 11","0010","Missing","Missing","Missing","Missing","Missing","459","Missing","Missing","Missing","Missing","Missing"
"Afina Hotel","https://www.tripadvisor.com//Hotel_Review-g293932-d10682113-Reviews-Afina_Hotel-Yerevan.html","Hotels.com",0,"1","0","1","0","0","0","0",19911,41,"d10682113","Hotel","Armenia","Yerevan","Yerevan","Tbilisyan St., 1","Missing","Missing","1","Missing","Missing","Missing","105","Missing","Missing","Missing","Missing","Missing"
"Albert House","https://www.tripadvisor.com//Hotel_Review-g293932-d8787032-Reviews-Albert_House-Yerevan.html","Booking.com",22,"1","0","1","0","0","0","0",11667,24,"d8787032","Hotel","Armenia","Yerevan","Yerevan","Zavaryan str. 12/1","0018","Missing","34","B&Bs / Inns in Yerevan","17","139","22","Missing","Missing","['15', '5', '1', '1', '0']","{'Russian': '13', 'English': '9'}","Missing"
